City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Khatanga,71.9667,102.5,-34.85,99,55,6.13,RU,1672119233
1,Flinders,-34.5833,150.8552,84.18,67,3,8.99,AU,1672119234
2,Harper,4.375,-7.7169,76.33,82,31,6.96,LR,1672119234
3,Busselton,-33.65,115.3333,75.58,36,2,16.02,AU,1672119235
4,Qaanaaq,77.484,-69.3632,-10.62,99,100,5.66,GL,1672119235
5,Mahébourg,-20.4081,57.7,83.25,83,75,9.22,MU,1672119236
6,Lebu,-37.6167,-73.65,56.7,86,61,14.74,CL,1672119236
7,Kolondiéba,11.0882,-6.8926,66.07,28,13,5.03,ML,1672119237
8,Bluff,-46.6,168.3333,56.48,71,28,15.68,NZ,1672119238
9,Albany,42.6001,-73.9662,24.03,65,100,4.14,US,1672119109
10,Taft,31.7471,54.2088,42.75,53,0,0.0,IR,1672119238
11,Kaitangata,-46.2817,169.8464,56.52,78,90,6.93,NZ,1672119239
12,Krasnosel'kup,65.7,82.4667,4.89,96,100,9.93,RU,1672119240
13,Bermeo,43.4209,-2.7215,54.48,88,71,4.05,ES,1672119240
14,Alyangula,-13.8483,136.4192,86.9,66,99,10.2,AU,1672119240
15,Umm Kaddadah,13.6017,26.6876,57.09,42,3,18.25,SD,1672119241
16,Cabo San Lucas,22.8909,-109.9124,70.52,73,0,4.61,MX,1672119019
17,Magadan,59.5667,150.8,7.86,74,17,8.61,RU,1672119242
18,Port Blair,11.6667,92.75,84.24,58,40,8.05,IN,1672119197
19,Rikitea,-23.1203,-134.9692,77.76,74,52,6.98,PF,1672119244
20,Poum,-20.2333,164.0167,76.62,89,100,15.93,NC,1672119245
21,Tromsø,69.6496,18.957,36.37,80,0,4.61,NO,1672119245
22,Hermanus,-34.4187,19.2345,67.64,76,8,5.03,ZA,1672119246
23,Lufilufi,-13.8745,-171.5986,87.58,74,9,9.78,WS,1672119246
24,Cape Town,-33.9258,18.4232,70.38,72,20,2.3,ZA,1672119002
25,Vaini,-21.2,-175.2,84.36,79,40,5.75,TO,1672119248
26,Ushuaia,-54.8,-68.3,40.66,81,100,19.57,AR,1672119104
27,Punta Arenas,-53.15,-70.9167,41.11,81,40,20.71,CL,1672119249
28,Kahului,20.8947,-156.47,76.84,75,0,12.66,US,1672119249
29,Dikson,73.5069,80.5464,-18.74,99,49,11.59,RU,1672119250
30,Goundam,16.4145,-3.6708,62.78,30,56,9.42,ML,1672119251
31,Padang,-0.9492,100.3543,86.05,65,100,6.02,ID,1672119252
32,Cabedelo,-6.9811,-34.8339,77.67,79,74,9.26,BR,1672119253
33,Kerrobert,51.9168,-109.1348,35.65,79,86,15.52,CA,1672119254
34,Karratha,-20.7377,116.8463,88.54,53,10,12.64,AU,1672119256
35,Varhaug,58.6147,5.6457,40.89,62,76,24.27,NO,1672119257
36,Cidreira,-30.1811,-50.2056,66.0,75,35,2.77,BR,1672119072
37,Bay Roberts,47.5999,-53.2648,31.33,82,73,3.0,CA,1672119258
38,Longyearbyen,78.2186,15.6401,15.03,85,98,6.02,SJ,1672119258
39,Kapaa,22.0752,-159.319,76.98,92,0,9.22,US,1672119259
40,Sabang,5.8933,95.3214,81.16,73,72,14.29,ID,1672119260
41,Erzin,36.9559,36.2,49.32,56,40,1.32,TR,1672119261
42,Norman Wells,65.282,-126.8329,-11.16,64,75,9.22,CA,1672119261
43,Burns Lake,54.2331,-125.7533,29.62,96,59,3.24,CA,1672119262
44,Hobart,-42.8794,147.3294,94.23,57,91,7.02,AU,1672119263
45,Yellowknife,62.456,-114.3525,-6.45,77,100,15.01,CA,1672119030
46,West Richland,46.3043,-119.3614,32.86,93,100,3.44,US,1672119265
47,Bredasdorp,-34.5322,20.0403,70.57,59,3,2.71,ZA,1672119254
48,Mana,5.6592,-53.7767,75.96,86,78,10.96,GF,1672119266
49,Noumea,-22.2763,166.4572,80.01,99,100,0.56,NC,1672119247
50,Saint-Joseph,-21.3667,55.6167,82.78,69,15,11.74,RE,1672119268
51,East London,-33.0153,27.9116,70.74,73,0,8.05,ZA,1672119268
52,Vardø,70.3705,31.1107,30.18,80,100,26.46,NO,1672119268
53,Guerrero Negro,27.9769,-114.0611,60.98,60,0,2.98,MX,1672119269
54,Murchison,-41.8,172.3333,64.45,91,68,2.08,NZ,1672119269
55,Barrow,71.2906,-156.7887,-7.58,71,0,19.57,US,1672119270
56,Shimoda,34.6667,138.95,53.96,73,95,3.11,JP,1672119270
57,Umba,66.6871,34.3429,18.97,80,100,10.98,RU,1672119271
58,New Norfolk,-42.7826,147.0587,93.88,24,79,4.0,AU,1672119272
59,Amberley,39.2048,-84.428,26.55,83,100,0.0,US,1672119272
60,Upernavik,72.7868,-56.1549,-8.95,79,90,8.03,GL,1672119155
61,Fortuna,40.5982,-124.1573,57.65,96,100,29.93,US,1672119273
62,Nemuro,43.3236,145.575,36.03,73,58,13.91,JP,1672119273
63,Hasaki,35.7333,140.8333,52.2,35,0,8.63,JP,1672119274
64,Grootfontein,-19.5667,18.1167,72.97,28,20,2.3,NA,1672119274
65,Arosa,46.7779,9.6762,28.29,99,82,3.49,CH,1672119275
66,Provideniya,64.3833,-173.3,5.86,64,1,15.1,RU,1672119275
67,Kungurtug,50.5994,97.5228,2.53,92,98,1.34,RU,1672119276
68,Zhigansk,66.7697,123.3711,-14.71,98,100,22.06,RU,1672119276
69,Castro,-24.7911,-50.0119,60.62,96,2,3.85,BR,1672119277
70,Pobé,6.9801,2.6649,68.04,62,8,2.04,BJ,1672119277
71,Saint George,37.1041,-113.5841,45.19,61,0,8.05,US,1672119239
72,Northam,51.0333,-4.2167,44.26,95,97,12.41,GB,1672119279
73,Surskoye,54.4821,46.7214,8.85,95,100,3.91,RU,1672119279
74,Thompson,55.7435,-97.8558,-14.64,76,40,0.0,CA,1672119183
75,Virginia Beach,36.8529,-75.978,30.02,70,97,6.49,US,1672119181
76,Lompoc,34.6391,-120.4579,54.59,93,75,9.22,US,1672119280
77,Tessalit,20.1986,1.0114,58.66,35,100,11.21,ML,1672119281
78,Mar del Plata,-38.0023,-57.5575,62.1,85,0,11.01,AR,1672119162
79,Shingū,33.7333,135.9833,51.44,45,0,2.98,JP,1672119185
80,Atuona,-9.8,-139.0333,78.24,75,91,16.46,PF,1672119282
81,Östersund,63.1792,14.6357,32.45,100,20,14.97,SE,1672119283
82,Hilo,19.7297,-155.09,77.29,87,40,1.01,US,1672119189
83,Avera,33.194,-82.5271,32.38,41,1,4.7,US,1672119284
84,Babstovo,48.1167,132.4833,11.7,94,100,3.76,RU,1672119284
85,Kuril'sk,45.2333,147.8833,33.57,86,98,14.81,RU,1672119286
86,Butaritari,3.0707,172.7902,81.61,80,52,14.99,KI,1672119286
87,Joshīmath,30.5667,79.5667,52.88,12,0,5.32,IN,1672119288
88,Los Llanos de Aridane,28.6585,-17.9182,65.12,67,20,10.0,ES,1672119289
89,Georgiyevka,43.0369,74.7114,39.24,45,0,8.95,KZ,1672119289
90,Esperance,-33.8667,121.9,66.61,60,42,24.45,AU,1672119290
91,Nome,64.5011,-165.4064,8.67,47,0,14.97,US,1672119290
92,Malakal,9.5334,31.6605,71.31,22,24,11.59,SS,1672119291
93,George Town,5.4112,100.3354,87.75,65,20,14.97,MY,1672119080
94,Yar-Sale,66.8333,70.8333,-7.71,99,82,3.67,RU,1672119292
95,Bahía Blanca,-38.7196,-62.2724,76.28,31,5,1.99,AR,1672119234
96,Mataura,-46.1927,168.8643,64.51,65,93,4.36,NZ,1672119292
97,Waliso,8.5333,37.9833,64.29,58,85,8.72,ET,1672119293
98,Saint Paul Harbor,57.79,-152.4072,36.91,81,100,16.11,US,1672119198
99,Khobi,42.3156,41.8987,46.54,91,100,4.9,GE,1672119295
100,Guider,9.9342,13.9486,66.33,29,0,4.81,CM,1672119295
101,Paceco,37.9787,12.5566,56.57,87,75,6.91,IT,1672119296
102,Senanga,-16.1167,23.2667,73.49,72,73,8.21,ZM,1672119296
103,Saskylakh,71.9167,114.0833,-35.93,100,26,3.69,RU,1672119297
104,Kavieng,-2.5744,150.7967,84.74,66,62,10.67,PG,1672119298
105,Carnarvon,-24.8667,113.6333,87.12,38,36,22.28,AU,1672119299
106,Torbay,47.6666,-52.7314,31.26,83,40,13.8,CA,1672119299
107,Cockburn Town,21.4612,-71.1419,78.8,75,7,22.41,TC,1672119300
108,Juneau,58.3019,-134.4197,35.1,97,100,10.36,US,1672119207
109,Severo-Kuril'sk,50.6789,156.125,30.81,79,61,19.17,RU,1672119301
110,Port Alfred,-33.5906,26.891,70.18,80,0,1.99,ZA,1672119301
111,Boundiali,9.5217,-6.4869,64.98,29,2,2.48,CI,1672119302
112,Vila do Maio,15.1333,-23.2167,66.99,65,88,11.56,CV,1672119302
113,Tiksi,71.6872,128.8694,-16.85,98,100,6.2,RU,1672119303
114,Kavaratti,10.5669,72.642,81.01,79,83,11.16,IN,1672119304
115,Malé,4.1748,73.5089,85.95,74,40,9.22,MV,1672119305
116,Bambous Virieux,-20.3428,57.7575,83.21,83,75,9.22,MU,1672119305
117,Mayahi,13.9553,7.6712,58.14,33,1,14.03,NE,1672119306
118,Cradock,-32.1642,25.6192,70.47,48,0,4.5,ZA,1672119307
119,Baykit,61.67,96.37,17.73,91,100,8.3,RU,1672119307
120,Puerto Ayora,-0.7393,-90.3518,72.55,94,65,1.99,EC,1672119308
121,Hualmay,-11.0964,-77.6139,69.01,83,99,5.59,PE,1672119308
122,Careiro da Várzea,-3.2003,-59.8119,75.83,97,100,2.59,BR,1672119309
123,Salalah,17.0151,54.0924,73.49,73,20,2.3,OM,1672119310
